Object ID,Object type,Object name,Purpose,Key fields,Relationships,Active / Partial / Dormant / Legacy / Unverified,Primary source,Security controls,Known limitations,Confidence,Notes
DB-034,Table,das_positions,DAS position catalogue + charge rates,id PK; organizationId FK; name; chargeRate,→ organizations,Active,shared/schema.ts:592 (migration 0054),RLS inline in migration; unique (org + name),,High,DAS = Daily Activity Sheet
DB-035,Table,das_home_bases,DAS home-base lookup,id PK; organizationId FK; name,→ organizations,Active,shared/schema.ts:608 (migration 0054),RLS,,High,
DB-036,Table,das_personnel,Org personnel roster,"id PK; organizationId FK; positionId/homeBaseId FK nullable; hourRate override; active",→ das_positions; das_home_bases,Active,shared/schema.ts:623 (migration 0054),RLS,,High,
DB-037,Table,das_plant,Plant/vehicle fleet,"id PK; organizationId FK; category; rego; day/hour/standby rates",→ organizations,Active,shared/schema.ts:643 (migration 0054),RLS,Category is free text (code-only const list),High,
DB-038,Table,das_project_crew,Roster members assigned to a project,id PK; projectId/organizationId FK; personnelId FK,→ projects; das_personnel,Active,shared/schema.ts:664 (migration 0054),RLS; unique (project + person),,High,
DB-039,Table,das_project_plant,Fleet items assigned to a project,id PK; projectId/organizationId FK; plantId FK,→ projects; das_plant,Active,shared/schema.ts:680 (migration 0054),RLS; unique (project + plant),,High,
DB-040,Table,das_project_config,Per-project DAS header defaults,id PK; projectId FK unique; organizationId FK; defaultShift,→ projects,Active,shared/schema.ts:696 (migration 0054),RLS,,High,
DB-041,Table,sites,Sites (pre-project operating model),"id PK; organizationId FK; clientId FK nullable; status enum; projectManagerId; deletedAt",→ organizations; clients; users,Partial,shared/schema.ts:971,RLS,Superseded in practice by the project-centric model; still routed and navigable,Medium,Semi-legacy: geotech work now hangs off projects/zones
DB-042,Table,site_contacts,Site contacts,id PK; siteId FK; organizationId FK; userId nullable,→ sites; users,Partial,shared/schema.ts:995,RLS,Tied to semi-legacy sites model,Medium,
DB-043,Table,site_files,Site file attachments,"id PK; siteId FK; organizationId FK; fileType enum; storageKey; fileUrl",→ sites; users,Partial,shared/schema.ts:1012,RLS,Tied to semi-legacy sites model,Medium,
DB-044,Table,jobs,Jobs (H&S / older grouping unit),"id PK; organizationId FK; siteId FK nullable; code; status enum; progress; deletedAt",→ organizations; sites; users,Partial,shared/schema.ts:1033,RLS,Overlaps with projects as a grouping unit,Medium,
DB-045,Table,job_members,Job membership,id PK; jobId FK; userId FK; role,→ jobs; users,Partial,shared/schema.ts:1067,RLS,,Medium,
DB-046,Table,forms,Generic H&S / geotech form submissions,"id PK; organizationId FK; projectId/jobId/anchorInstallId/assetId FK nullable; formCode unique; type enum; status enum; source enum (web/voice); formData jsonb; voice extraction fields; parentFormId; attachments jsonb; deletedAt",→ organizations; projects; jobs; anchor_install_logs; users,Active,shared/schema.ts:1079,RLS; idx_forms_anchor_install; idx_forms_asset,formData is unstructured jsonb — shape varies by template,High,Central table for incidents/near-misses/inspections/DAS/JSA sign-ins
DB-047,Table,form_templates,Form definitions (form builder),"id PK; organizationId FK; type enum; schema jsonb; dailySigninEnabled",→ organizations; users,Active,shared/schema.ts:1144,RLS,,High,
DB-048,Table,assets,Asset register (jacks/gauges/vehicles/plant/safety),"id PK; organizationId FK; category; certType/cert dates; calibrationXValue; status; attachments jsonb; deletedAt",→ organizations; users,Active,shared/schema-assets.ts:14 (migration 0021),RLS,Category/status are free text,High,
DB-049,Table,incidents,H&S incident reports,"id PK; organizationId FK; jobId FK; incidentCode unique; severity/status enums; deletedAt",→ organizations; jobs; users,Active,shared/schema-incidents.ts:13,RLS,,High,
DB-050,Table,sharepoint_config,Per-tenant SharePoint sync config,id PK; organizationId FK unique; listConfig jsonb; enabled,→ organizations (1:1),Active,shared/schema-integrations.ts:12,RLS,,High,
DB-051,Table,drone_surveys,Drone survey records,"id PK; projectId/organizationId FK; status enum; metadata jsonb; deletedAt",→ projects; organizations; users,Active,shared/schema-drone.ts:14,RLS,,High,
DB-052,Table,drone_survey_files,Survey files (images / point clouds),"id PK; surveyId FK; organizationId FK; fileType enum; analysisStatus enum; analysisResults jsonb",→ drone_surveys,Active,shared/schema-drone.ts:35,RLS,,High,
DB-053,Table,point_cloud_jobs,Point-cloud processing queue,"id PK; surveyFileId FK; organizationId FK; status enum; facetsJson",→ drone_survey_files,Partial,shared/schema-drone.ts:60,RLS,Worker is a separate machine not started by the main app; queue may be idle in production,Medium,pg-boss + table-claim hybrid
DB-054,Table,safety_meetings,Safety/toolbox meetings + AI analysis,"id PK; organizationId FK; projectId/siteId/jobId FK nullable; meetingCode unique; type/status enums; transcript jsonb; aiAnalysis jsonb; plannedWork jsonb; deletedAt",→ organizations; projects; sites; jobs; users,Active,shared/schema-meetings.ts:18,RLS,plannedWork jsonb is a Co-Pilot leftover (feature dropped in 0055),High,
DB-055,Table,safety_meeting_participants,Meeting attendees + sign-in,"id PK; meetingId FK; organizationId FK; userId nullable; role enum; signature",→ safety_meetings; users,Active,shared/schema-meetings.ts:59,RLS,,High,
DB-056,Table,safety_meeting_tasks,Action items from meetings,"id PK; meetingId FK; organizationId FK; status/priority enums; assigneeId; incidentId FK nullable",→ safety_meetings; users; incidents,Active,shared/schema-meetings.ts:81,RLS,,High,
DB-057,Table,safety_meeting_photos,Meeting photos,id PK; meetingId FK; organizationId FK; fileUrl; capturedById,→ safety_meetings; users,Active,shared/schema-meetings.ts:106,RLS,,High,
DB-058,Table,calendar_events,Calendar / Outlook-synced events,"id PK; organizationId FK; userId FK; start/end; outlookEventId; deletedAt",→ organizations; users,Active,shared/schema-calendar.ts:13,RLS,,High,
DB-059,Table,map_annotations,Per-project map GeoJSON annotations,"id PK; projectId/organizationId FK; geojson jsonb; activities jsonb",→ projects; organizations; users,Active,shared/schema-calendar.ts:43,RLS,,High,
DB-060,Table,notes,Project-scoped markdown notes,"id PK; organizationId FK; projectId FK nullable; authorId FK; body; visibility; attachments jsonb; pinned; deletedAt",→ organizations; projects; users,Active,shared/schema.ts:1219 (migration 0034),RLS,Some attachments stored as inline data URLs in jsonb,High,
DB-061,Table,reports,Engineer report builder (Tiptap document),"id PK; organizationId FK; projectId FK cascade; templateKey; currentStatus (text state machine); currentDoc jsonb",→ organizations; projects; users,Active,shared/schema.ts:1255 (migration 0043),RLS,Status is text not enum — state machine enforced at route layer,High,
DB-062,Table,report_revisions,Immutable report revision snapshots,"id PK; reportId FK cascade; organizationId FK; doc jsonb; snapshotData jsonb; prepared/reviewed/authorisedById",→ reports; organizations; users,Active,shared/schema.ts:1294 (migration 0043),RLS,,High,
DB-063,Table (dropped),aviation_* (16 tables),Aviation/CAA compliance vertical (Tac Edge Aviation),Rule parts; operators; certifications; jobs; compliance; approvals; crew; preop checks; aircraft; pilots; invite tokens,Aviation module,Legacy (dropped),migrations/0005–0012; dropped in 0055,RLS (while present),Never modelled in committed shared/schema.ts,High,Removed 0055_drop_aviation_council_copilot.sql
DB-064,Table (dropped),council_* (4 tables),Council approval side of aviation vertical,Byelaws; byelaw items; aviation settings; noise layers,Aviation module,Legacy (dropped),migrations/0007–0012; dropped in 0055,RLS (while present),,High,
DB-065,Table (dropped),co_pilot_events / co_pilot_settings,Co-Pilot event stream ('brain') with pg triggers,Event rows emitted by triggers on 5 core tables + pg_notify,Triggers on safety_meetings/anchor_install_logs/anchor_test_results/forms/variations,Legacy (dropped),migrations/0047–0049; dropped in 0055,RLS (while present),safety_meetings.planned_work column survives,High,
DB-066,Function (dropped),co_pilot_emit_event() / co_pilot_emit_event_update(),plpgsql trigger functions for Co-Pilot event emission,,Triggers on 5 tables,Legacy (dropped),migrations/0048–0049; dropped in 0055,,,High,9 triggers + 2 functions dropped explicitly
DB-067,Enum,user_role,User roles,"OrgAdmin, ProjectManager, HSEManager, SiteSupervisor, FieldTech, ClientViewer, Subcontractor, Pilot, CouncilApprover, CouncilAdmin",users.role,Active (3 aviation-era values dormant),shared/schema-enums.ts,,Pilot/CouncilApprover/CouncilAdmin retained after aviation drop,High,
DB-068,Enum,org_type,Organisation type,"operator, council, engineering, mixed, port",organizations.orgType,Active (operator/council dormant),shared/schema-enums.ts (0020 added port),,operator/council were aviation verticals,High,
DB-069,Enum,anchor_status,Anchor lifecycle status,"planned, drilled, grouted, tested, not-required, requires-redrill",anchor_install_logs.status,Active,shared/schema-enums.ts (migration 0004),,,High,
DB-070,Enum,test_type,Anchor test type,"none, proof, performance, acceptance, investigation, suitability",anchor_install_logs.testType,Active,shared/schema-enums.ts,,,High,
DB-071,Enum,test_standard,Test standard,"en-iso-22477-5, bs-8081, pti-dc35, nzs-4230, as-4678, other",anchor_test_results.testStandard,Active,shared/schema-enums.ts,,,High,
DB-072,Enum,form_type,Form submission types,"take-5, anchor-log, variation, crew-briefing, risk-control-plan, incident-report, near-miss, site-inspection, asset-assessment, startup-checklist, daily-activity",forms.type,Active,shared/schema-enums.ts (0003/0028 additions),,,High,
DB-073,Enum,form_status,Form lifecycle,"draft, pending, approved, rejected, completed, archived",forms.status,Active,shared/schema-enums.ts (0024 added archived),,,High,
DB-074,Enum,form_source,Capture channel,"web, voice",forms.source,Active,shared/schema-enums.ts,,,High,
DB-075,Enum,project_status,Project lifecycle,"planned, active, complete, on-hold",projects.status,Active,shared/schema-enums.ts,,,High,
DB-076,Enum,anchor_type,Anchor types,"self-drilling, strand, solid-bar, grp, mechanical",anchor_designs.anchorType,Active,shared/schema-enums.ts,,,High,
DB-077,Enum,variation_reason / variation_status,Variation classification,"ground-conditions, design-change, client-request, other / draft, submitted, approved, rejected",variations,Active,shared/schema-enums.ts,,,High,
DB-078,Enum,meeting_type / meeting_status,Safety-meeting classification,"toolbox-talk, pre-start, safety-committee, incident-review, site-induction, hse-briefing, other / scheduled, recording, processing, completed, cancelled",safety_meetings,Active,shared/schema-enums.ts,,,High,
DB-079,Enum,incident_severity / incident_status,Incident classification,"low, medium, high, critical / open, investigating, resolved, closed",incidents,Active,shared/schema-enums.ts,,,High,
DB-080,Enum,survey/analysis/processing statuses,Drone pipeline statuses,"survey: draft, processing, ready, failed; analysis: pending, analyzing, complete, failed; processing: queued, processing, complete, failed",drone tables,Active,shared/schema-enums.ts,,,High,
DB-081,Enum (dropped),aviation_* (7 enum types),Aviation enums,operation class; job status; compliance status; rule part; certification type; approval action; evidence type,Aviation tables,Legacy (dropped),Dropped in 0055,,,High,
DB-082,Storage,Supabase Storage bucket (name from SUPABASE_STORAGE_BUCKET; default 'Storage 1'),Private object storage for uploads / drone tiles / PDFs,storagePath/storageKey/pdfStoragePath text columns reference objects,"project_documents, face_photos, anchor_import_jobs, job_brief_documents, assets, site_files, drone processing",Active,server/lib/supabase-storage.ts,Service-role key server-side; 15-min signed read URLs; bucket intended private,uploadFile still returns a public URL for legacy callers,Medium,Single-bucket model
DB-083,Infrastructure,schema_migrations,Migration tracking table,Applied filenames,,Active,server/scripts/migrate.ts,,Fails loud if tracking empty but data present,High,Release-command runs pending migrations; auditRls fails deploy on exposed tables
DB-084,Security,Row-level security (all public tables),Deny-by-default for Supabase anon/authenticated roles,No policies defined; Express connects as postgres (bypasses RLS),All public tables,Active,migrations/0032 + 0053 + inline; server/scripts/migrate.ts auditRls,Deny-by-default; deploy-time audit,No FORCE — server role bypasses by design,High,
