Evidence ID,Product area,Claim or capability,Classification,Source repository,Source file,Route,Component,Schema object,Relevant line or identifier,Runtime evidence,Screenshot reference,Confidence,Notes,Validation required
EV-019,Voice,Phone voice intake: Twilio → WS bridge → ElevenLabs agent → AI extraction → form,IMPLEMENTED,TACEDGE Geotech,server/voice/,POST /api/voice/incoming-call; WS /api/voice/media-stream,—,forms (source=voice); caller_project_mappings,voice.ts (793 lines); voiceWebSocket.ts,None,None,High,Per-tenant agents (RC + LPC) via env vars,Live call completion rates
EV-020,Voice,In-app voice reporting via Deepgram short-lived keys,IMPLEMENTED,TACEDGE Geotech,server/routes/voice-quick.ts; deepgram.ts,POST /api/voice/quick/submit,sidebar __voice__ item,forms,voice-quick.ts (zod),None,None,High,,
EV-021,Voice,Webhook and Twilio signature validation fails open when secrets are unset,PARTIAL,TACEDGE Geotech,server/voice/voice-middleware.ts,/api/elevenlabs/*; /api/voice/incoming-call,—,—,voice-middleware.ts:103-105 and :174-179,None,None,High,Startup warning only — misconfigured deploy leaves webhooks unauthenticated,Confirm production secrets are set
EV-022,Forms,Form builder authoring custom templates (schema jsonb; 7 field types; 11 form types),IMPLEMENTED,TACEDGE Geotech,client/src/pages/form-builder.tsx,/form-builder,form-builder.tsx,form_templates,form_type enum,None,None,High,,
EV-023,Reporting,Report Builder: Tiptap block editor + revisions + AI proposals + PDF rendering,IMPLEMENTED,TACEDGE Geotech,server/routes/reports.ts; client/src/pages/report-builder.tsx,/reports/:reportId,report-builder.tsx,reports; report_revisions,migration 0043; ai-report-proposer.ts,None,None,High,Status machine is route-level text,
EV-024,Maps,MapLibre maps with LINZ basemaps + terra-draw annotations + terrain profiles,IMPLEMENTED,TACEDGE Geotech,client/src/lib/mapConfig.ts; server/routes/terrain.ts,project map tabs,shared/map/SharedMap,map_annotations,mapConfig.ts:16-17 (VITE_LINZ_*),None,None,High,Default centre hard-coded (Christchurch),
EV-025,Maps,Face-photo anchor map: pins + annotations + bi-axial scale on rock-face photos,IMPLEMENTED,TACEDGE Geotech,client/src/components/project/FacePhotoCanvas.tsx,project face-photo tab,FacePhotoCanvas; FacePhotoAnchorMap,face_photos,migrations 0015/0016/0042/0051,None,None,High,FacePhotoCanvas 1753 lines — regrown past documented refactor,
EV-026,Drone,Drone surveys + AI imagery analysis + point-cloud processing pipeline,PARTIAL,TACEDGE Geotech,server/routes/survey*.ts; server/workers/point-cloud-worker.ts,project survey tabs,MapSurvey; drone-surveys/*,drone_surveys; drone_survey_files; point_cloud_jobs,point-cloud-worker.ts self-start block,None,None,Medium,Worker requires a separate machine not started by the app,Is a worker machine deployed?
EV-027,Dashboards,Role-adaptive dashboard + bespoke LPC port dashboard,IMPLEMENTED,TACEDGE Geotech,client/src/pages/dashboard.tsx; components/dashboard/LPCDashboard.tsx,/,dashboard.tsx; LPCDashboard,—,LPCDashboard.tsx LPC_GRADIENTS,None,None,High,LPC dashboard is customer-specific,
EV-028,Assistant,'Ask RC' streaming AI assistant with read-only tenant-scoped tools,IMPLEMENTED,TACEDGE Geotech,server/routes/assistant.ts; services/assistant-tools.ts,POST /api/assistant/chat,top-bar,—,ai-assistant.ts:57 claude-haiku-4-5,None,None,High,,Adoption unknown
EV-029,Integrations,SharePoint sync + Teams notifications + Resend email + Outlook calendar,IMPLEMENTED,TACEDGE Geotech,server/sharepoint.ts; microsoftTeams.ts; email.ts; routes/calendar.ts,various,—,sharepoint_config; calendar_events,SHAREPOINT_SETUP.md; TEAMS_WEBHOOK_URL,None,None,High,Teams webhook is a single env URL not per-tenant,Which tenants have each integration enabled
EV-030,Offline,Offline-first: service worker precache + IndexedDB sync queue/query cache/drafts + per-host PWA manifest,IMPLEMENTED,TACEDGE Geotech,client/public/sw.js; client/src/lib/offline-store.ts; server/routes/manifest.ts,GET /manifest.json,offline-store,—,offline-store.ts sync-queue,None,None,Medium,Replay uses idempotency IDs + retry/backoff,Full offline shift test
EV-031,Exports,XLSX exports built from Python (openpyxl) generated templates,IMPLEMENTED,TACEDGE Geotech,server/scripts/*.py; Dockerfile,export endpoints,—,—,Dockerfile installs python3 + openpyxl,None,None,High,Python committed alongside TS incl. __pycache__,
EV-032,Deployment,Fly.io single app (syd) with release-command migrations + RLS audit; 1GB shared VM,IMPLEMENTED,TACEDGE Geotech,fly.toml; Dockerfile; server/scripts/migrate.ts,—,—,schema_migrations,fly.toml release_command,None,None,High,min_machines_running=1; autostop,
EV-033,Observability,Custom console logger only; no APM/error tracking/metrics; Sentry documented as future work,NOT IMPLEMENTED,TACEDGE Geotech,server/lib/logger.ts; docs/observability.md,—,—,—,logger.ts; observability.md,None,None,High,Fly log aggregation is the only telemetry,Operational incident history
EV-034,Testing (dev),Vitest unit tests (8 files) + CI (tsc/eslint/vitest); Playwright config exists but @playwright/test not in package.json,PARTIAL,TACEDGE Geotech,vitest.config.ts; .github/workflows/ci.yml; playwright.config.ts,—,—,—,e2e/smoke.spec.ts,None,None,High,CLAUDE.md 'vitest unused' claim is stale; e2e not runnable as-is,
EV-035,Legacy,Aviation vertical built (0005-0012) and dropped (0055); nav entries + 3 roles + 2 org types remain,LEGACY,TACEDGE Geotech,migrations/0005-0012; 0055,—,—,22 dropped tables; 7 dropped enums,0055_drop_aviation_council_copilot.sql,None,None,High,,
EV-036,Legacy,Co-Pilot DB-trigger event stream built (0047-0049) and dropped (0055); planned_work column survives,LEGACY,TACEDGE Geotech,migrations/0047-0049; 0055,—,—,co_pilot_events; co_pilot_settings (dropped),0047-0049,None,None,High,,
EV-037,Legacy,Sites/jobs models coexist with projects as overlapping grouping units,PARTIAL,TACEDGE Geotech,shared/schema.ts:971-1067,/sites; /jobs,sites.tsx; jobs.tsx,sites; jobs,—,None,None,Medium,Pre-project operating model still navigable,Which tenants still use sites/jobs
EV-038,Customer-specific,LPC port tenant: hidden Project Operations; marine relabelling; bespoke dashboard; port bottom-nav; LPC voice agent + webhook secrets,IMPLEMENTED,TACEDGE Geotech,shared/rbac-config.ts; useTenant.tsx; LPCDashboard.tsx; voice-tenants.ts,—,LPCDashboard,orgType=port,rbac-config.ts:133+194; voice-tenants.ts:44-88,None,None,High,Port behaviour is a mix of config-driven and hard-coded branching,
EV-039,Customer-specific,SteepWorks tenant: form-builder flag flipped by migration; recording disabled; nav re-pointing; invoice DAS format,IMPLEMENTED,TACEDGE Geotech,migrations/0046+0050; seed-steepworks-tenant.ts,—,TimesheetDAS,tenant_config,0046_steepworks_form_builder.sql,None,None,High,,
EV-040,Customer-specific,TacEdge brand: marketing site + glass theme gated on hard-coded brandName string,IMPLEMENTED,TACEDGE Geotech,client/src/App.tsx:84-88; useTenant.tsx:246,/about etc.,marketing/*,tenant_config,App.tsx:88 showMarketing,None,None,High,,
EV-041,Design system,As-built UI = shadcn/new-york + Tailwind CSS variables; primary forest green HSL 104 37% 20%; tenant primaryColor overrides at runtime,IMPLEMENTED,TACEDGE Geotech,client/src/index.css; tailwind.config.ts; useTenant.tsx,—,ui/*,tenant_config.primaryColor,index.css:6-63,None,None,High,,
EV-042,Design system,design_guidelines.md describes a defunct 'Rock Red' Material identity that contradicts the shipped build,LEGACY,TACEDGE Geotech,design_guidelines.md; client/src/lib/dashboardTheme.ts,—,—,—,dashboardTheme.ts header comment,None,None,High,Two palette intents coexist in dashboardTheme.ts,
EV-043,Design system,Status colouring fragmented: ≥5 raw-hex STATUS_COLORS maps + ≥4 duplicated getStatusVariant functions + 2 drifting form-status maps,PARTIAL,TACEDGE Geotech,client/src (multiple),—,—,—,photo-canvas-constants.ts:11 et al.,None,None,High,No single status-colour source of truth,
EV-044,Tech debt,Inline useQuery/useMutation outside hooks/: 23 in pages + 101 in components across 50 files (rule suppressed via eslint-disable TODO),PARTIAL,TACEDGE Geotech,client/src,—,—,—,eslint-disable no-restricted-syntax TODO pattern,None,None,High,Exceeds CLAUDE.md's stated 41,
EV-045,Tech debt,Files over 500 lines: FacePhotoCanvas 1753; repo-features 1197; daily-activity 1111; FacePhotoAnchorMap 1088; anchor-logs 950 (+15 more),PARTIAL,TACEDGE Geotech,client/src; server,—,—,—,line counts at commit 975a2ea,None,None,High,Several regrown past documented refactors; CLAUDE.md sizes stale,
EV-046,Security,Startup env validation (server/lib/config.ts zod schema) is never invoked — only DATABASE_URL and SESSION_SECRET fail closed,PARTIAL,TACEDGE Geotech,server/lib/config.ts,—,—,—,getConfig() never called at boot,None,None,High,,
EV-047,Security,PATCH /api/tenant/config writes jsonb without zod validation (admin-only),PARTIAL,TACEDGE Geotech,server/routes/tenant.ts,PATCH /api/tenant/config,settings BrandingTab,tenant_config,tenant.ts:136-160,None,None,High,Violates repo hard rule 4,
EV-048,Security,Hard-coded email-verification bypass for @rockcontrol.app addresses,PARTIAL,TACEDGE Geotech,server/routes/auth.ts,POST /api/auth/login,—,users,auth.ts:146,None,None,High,,Intent of bypass
EV-049,Data,attached_assets/ contains 107 files of pasted debug logs + customer documents (Twilio call SIDs; voice prompt drafts; customer .docx/.xlsx templates),PARTIAL,TACEDGE Geotech,attached_assets/,—,—,—,directory listing,None,None,High,Recommended security/PII pass; nothing copied into tacedge-v1-PD,Owner review of attached_assets
EV-050,Runtime,Application not run during inspection: requires Supabase DB + SESSION_SECRET + 8 external API keys; no staging environment evident,UNVERIFIED,TACEDGE Geotech,.env.example; server/db.ts; sessionAuth.ts,—,—,—,db.ts:5-9 fail-closed,None — static inspection only,None,High,All runtime behaviour claims are INFERRED from code,Safe staging environment for the Technical Lead
