Workflow ID,Workflow name,Priority,Primary actor,Supporting roles,Start route,End state,Runtime classification,Steps,Screenshots,Capability IDs,PDS IDs,External side-effect risk,Principal limitation,V2 scoping question,Validation required
WF-11,JSA daily sign-in,2,Field crew,OrgAdmin,/forms/:id,Child sign-in record,OBSERVED — TEST DATA,3,1,V1-SAF-04;V1-FRM-01,PDS-FRM;PDS-FB,None,Drilling is NOT gated on sign-in in V1 (unlike V2 SOS-4),Does V2 require sign-on to gate drilling?,Confirm no gate exists in production
WF-12,Incident or near-miss report,2,Field crew,HSE/PM,/incidents,Submitted incident form,OBSERVED — TEST DATA,3,3,V1-SAF-01;V1-SAF-02;V1-FRM-03,PDS-SAF;PDS-FRM;PDS-SUB,Teams/SharePoint (disabled),Two incident stores; AI analysis BLOCKED,Which incident store is authoritative for V2?,Clarify incidents table vs forms
WF-13,In-app voice report,2,Field crew,—,__voice__,Extracted form (draft),PARTIALLY OBSERVED,1,1,V1-VCE-02;V1-VCE-03,PDS-DSH,None,Deepgram/Anthropic BLOCKED — dialog + type chips seen only,Is voice a V2 workspace feature or a retained service?,Observe end-to-end voice extraction with keys
WF-14,Safety meeting / toolbox talk,2,Site Supervisor,All,/meetings,Meeting record + actions,PARTIALLY OBSERVED,3,2,V1-MTG-01;V1-MTG-02;V1-MTG-03,PDS-MTG;PDS-MTGD,None,Recording + transcription + AI BLOCKED,Is the meetings suite in the V2 workspace scope?,Observe recording + AI analysis with keys
WF-15,Dynamic form creation and submission,2,OrgAdmin,Field crew,/forms,Template + submissions,OBSERVED — TEST DATA,4,3,V1-FRM-01;V1-FRM-02;V1-FRM-03,PDS-FB;PDS-FRM;PDS-SUB,None,formData is unstructured jsonb,How much of the forms platform does V2 keep?,—
WF-16,Project map and face-photo workflow,2,Project Manager,Field crew,/projects/:id,Annotations / pinned anchors,PARTIALLY OBSERVED,2,1,V1-MAP-01;V1-MAP-02,PDS-PRJD,None,No map tiles locally (no LINZ key); face-photo pinning not exercised,Do face-photo pins satisfy the V2 Spatial Map job?,Observe map with tiles + face-photo pinning
WF-17,Asset register and certification,3,OrgAdmin,—,/assets,Asset with cert expiry,OBSERVED — TEST DATA,1,1,V1-AST-01,PDS-AST,None,—,Is asset/calibration tracking in V2 scope?,—
WF-18,User creation and RBAC,3,OrgAdmin,—,/settings,Users + capability overrides,OBSERVED — TEST DATA,2,1,V1-USR-01;V1-USR-02,PDS-SET,Invite email (not sent),Role-permissions matrix tab not deeply exercised,Does V2 keep per-org RBAC overrides?,—
WF-19,Tenant branding and configuration,3,OrgAdmin,—,/settings,Branding/flags config,PARTIALLY OBSERVED,1,1,V1-ORG-02;V1-ORG-03,PDS-SET,None,PATCH /api/tenant/config is un-zodded (from PD),Where is the config/code boundary in V2?,—
WF-20,Project documents and SharePoint,3,OrgAdmin,Viewer,/documents,Document listing,OBSERVED — READ ONLY,1,1,V1-DOC-01;V1-PRJ-04,PDS-DOC;PDS-PRJD,None,SharePoint absent — empty state only,Consolidate to one document model in V2?,Observe SharePoint browse with a tenant configured
WF-21,Report / map AI assistant,3,OrgAdmin,—,top bar,AI answer,BLOCKED,0,0,V1-AIA-01;V1-MAP-03,PDS-DSH,None,Ask RC / Ask TacEdge disabled without key,Which AI assistants survive into V2?,Observe Ask RC with a key
WF-22,LPC port-specific experience,3,—,—,—,—,BLOCKED,0,0,V1-DSH-02,—,None,No LPC tenant data/domain in local runtime,How much port behaviour is product vs customisation?,Requires an LPC-configured environment
WF-23,Drone survey and point cloud,3,Project Manager,—,/projects/:id,Survey/analysis,OBSERVED — READ ONLY,1,1,V1-DRN-01;V1-DRN-02;V1-DRN-03,PDS-PRJD,None,Empty; worker + AI BLOCKED,Is drone/point-cloud in V2 scope?,Observe with worker machine + AI
WF-24,Global search and calendar,3,OrgAdmin,—,top bar,Results / events,PARTIALLY OBSERVED,2,1,V1-SRCH-01;V1-CAL-01,PDS-DSH;PDS-CAL,None,Outlook connect BLOCKED,Are search/calendar in V2 scope?,—
